age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,poutcome,nr.employed,Subscribed
62,retired,married,university.degree,no,no,cellular,oct,fri,717,2,999,nonexistent,5017.5,yes
49,admin.,single,high.school,yes,no,cellular,oct,fri,136,2,999,nonexistent,5017.5,yes
36,admin.,married,university.degree,no,no,cellular,oct,fri,342,1,999,failure,5017.5,yes
70,retired,married,basic.4y,yes,no,cellular,oct,mon,131,1,999,nonexistent,5017.5,yes
60,retired,married,basic.4y,no,no,cellular,oct,mon,98,1,999,nonexistent,5017.5,yes
30,services,single,high.school,yes,no,cellular,oct,mon,385,2,999,nonexistent,5017.5,yes
21,student,single,high.school,no,no,cellular,oct,mon,328,1,999,nonexistent,5017.5,yes
36,management,married,basic.6y,yes,no,cellular,oct,tue,332,1,999,failure,5017.5,yes
33,admin.,married,university.degree,yes,no,cellular,oct,tue,148,2,6,success,5017.5,yes
57,admin.,single,high.school,unknown,unknown,telephone,oct,tue,513,1,999,nonexistent,5017.5,yes
31,services,single,professional.course,yes,no,telephone,oct,tue,373,1,999,nonexistent,5017.5,yes
31,admin.,married,university.degree,yes,no,cellular,oct,tue,213,1,999,nonexistent,5017.5,yes
60,technician,married,basic.4y,yes,no,cellular,oct,tue,595,2,6,success,5017.5,yes
59,housemaid,married,basic.4y,yes,no,cellular,oct,tue,518,2,6,success,5017.5,yes
30,technician,married,professional.course,yes,no,cellular,oct,tue,427,1,999,nonexistent,5017.5,yes
24,management,single,university.degree,yes,no,cellular,oct,tue,676,2,999,failure,5017.5,yes
39,admin.,single,high.school,yes,no,cellular,oct,tue,386,1,999,nonexistent,5017.5,yes
44,admin.,married,university.degree,yes,no,cellular,oct,wed,192,3,6,success,5017.5,yes
38,admin.,married,university.degree,yes,no,cellular,oct,wed,828,1,999,failure,5017.5,yes
38,admin.,married,university.degree,yes,no,cellular,oct,wed,576,1,6,success,5017.5,yes
36,admin.,married,university.degree,yes,no,cellular,oct,wed,825,1,6,success,5017.5,yes
32,admin.,married,university.degree,yes,no,cellular,oct,wed,467,2,6,success,5017.5,yes
88,retired,divorced,basic.4y,no,no,cellular,oct,wed,512,2,6,success,5017.5,yes
44,admin.,married,university.degree,yes,no,telephone,oct,wed,749,1,999,nonexistent,5017.5,yes
36,admin.,married,university.degree,no,no,cellular,oct,wed,135,1,999,nonexistent,5017.5,yes
42,blue-collar,married,professional.course,yes,no,cellular,oct,wed,307,1,7,success,5017.5,yes
42,blue-collar,married,professional.course,no,no,cellular,oct,wed,287,1,999,nonexistent,5017.5,yes
29,blue-collar,single,basic.9y,no,yes,cellular,oct,wed,107,2,999,nonexistent,5017.5,yes
54,unemployed,married,basic.9y,yes,no,cellular,oct,wed,200,1,999,nonexistent,5017.5,yes
34,technician,married,professional.course,yes,no,cellular,oct,wed,442,2,8,success,5017.5,yes
37,unemployed,married,university.degree,yes,no,cellular,oct,thu,249,2,999,failure,5017.5,yes
35,unemployed,married,university.degree,no,no,cellular,oct,thu,360,5,999,nonexistent,5017.5,yes
56,technician,married,basic.4y,no,no,cellular,oct,thu,257,1,6,success,5017.5,yes
33,services,married,high.school,yes,no,cellular,oct,thu,313,3,999,nonexistent,5017.5,yes
71,management,married,university.degree,yes,no,cellular,oct,thu,127,3,999,failure,5017.5,yes
56,retired,married,professional.course,unknown,unknown,cellular,oct,thu,181,1,6,success,5017.5,yes
56,retired,married,professional.course,no,no,cellular,oct,thu,133,1,3,success,5017.5,yes
45,technician,married,professional.course,no,no,cellular,oct,thu,504,1,6,success,5017.5,yes
30,admin.,single,university.degree,yes,no,telephone,oct,thu,1002,4,999,nonexistent,5017.5,yes
56,technician,married,basic.4y,no,no,cellular,oct,thu,306,3,3,success,5017.5,yes
25,services,single,high.school,yes,no,cellular,oct,thu,260,2,999,nonexistent,5017.5,yes
24,admin.,single,university.degree,yes,yes,telephone,oct,thu,97,1,999,nonexistent,5017.5,yes
35,unemployed,married,university.degree,no,no,cellular,oct,thu,344,1,6,success,5017.5,yes
61,management,married,university.degree,yes,no,cellular,oct,fri,336,2,999,failure,5017.5,yes
22,student,single,high.school,no,no,cellular,oct,fri,270,3,6,success,5017.5,yes
64,admin.,married,high.school,yes,no,cellular,oct,fri,130,1,999,failure,5017.5,yes
23,technician,single,university.degree,yes,no,cellular,oct,fri,374,1,999,nonexistent,5017.5,yes
21,student,single,high.school,yes,no,cellular,oct,fri,149,1,999,nonexistent,5017.5,yes
24,student,single,unknown,yes,no,cellular,oct,fri,460,1,999,nonexistent,5017.5,yes
98,retired,married,basic.4y,yes,no,cellular,oct,fri,476,1,2,success,5017.5,yes
64,admin.,married,high.school,yes,no,cellular,oct,fri,427,1,999,failure,5017.5,yes
98,retired,married,basic.4y,yes,no,cellular,oct,fri,272,2,999,nonexistent,5017.5,yes
22,student,single,basic.9y,no,no,cellular,oct,fri,438,1,999,failure,5017.5,yes
22,student,single,basic.9y,no,no,cellular,oct,fri,221,2,6,success,5017.5,yes
29,admin.,single,high.school,yes,no,cellular,oct,fri,292,1,6,success,5017.5,yes
34,admin.,married,university.degree,no,no,cellular,oct,fri,281,1,999,failure,5017.5,yes
26,admin.,single,high.school,no,no,telephone,oct,fri,257,2,4,success,5017.5,yes
33,admin.,single,high.school,no,no,cellular,oct,mon,251,1,999,nonexistent,5017.5,yes
26,admin.,married,high.school,yes,no,cellular,oct,mon,703,1,999,nonexistent,5017.5,yes
42,management,married,university.degree,yes,no,cellular,oct,mon,355,1,999,failure,5017.5,yes
55,unemployed,married,basic.9y,no,no,cellular,oct,tue,131,1,999,nonexistent,5017.5,yes
72,admin.,married,university.degree,no,yes,cellular,oct,tue,143,1,6,success,5017.5,yes
71,retired,married,basic.4y,no,no,cellular,oct,tue,207,1,999,nonexistent,5017.5,yes
32,technician,single,university.degree,no,no,cellular,oct,tue,96,1,999,failure,5017.5,yes
52,housemaid,married,high.school,no,no,cellular,oct,tue,297,1,999,failure,5017.5,yes
68,retired,married,basic.4y,yes,no,cellular,oct,tue,102,1,6,success,5017.5,yes
29,services,married,high.school,no,no,cellular,oct,tue,424,1,999,failure,5017.5,yes
33,services,single,high.school,no,no,cellular,oct,tue,137,1,999,nonexistent,5017.5,yes
65,housemaid,married,basic.4y,unknown,unknown,cellular,oct,tue,759,2,999,nonexistent,5017.5,yes
42,management,married,university.degree,no,no,telephone,oct,tue,83,1,3,success,5017.5,yes
63,technician,married,professional.course,yes,no,cellular,oct,tue,298,1,999,nonexistent,5017.5,yes
31,management,married,university.degree,yes,no,cellular,oct,tue,255,3,4,success,5017.5,yes
68,retired,divorced,professional.course,yes,no,cellular,oct,tue,418,2,999,nonexistent,5017.5,yes
71,retired,married,basic.4y,no,no,cellular,oct,tue,353,1,999,nonexistent,5017.5,yes
21,student,single,high.school,no,no,cellular,oct,tue,113,1,999,nonexistent,5017.5,yes
32,technician,single,university.degree,yes,no,cellular,oct,tue,149,1,999,nonexistent,5017.5,yes
63,retired,married,high.school,yes,no,cellular,oct,wed,96,1,999,nonexistent,5017.5,yes
58,unemployed,divorced,basic.9y,yes,no,telephone,oct,wed,509,1,999,nonexistent,5017.5,yes
32,admin.,single,university.degree,no,no,cellular,oct,wed,371,1,999,nonexistent,5017.5,yes
40,admin.,married,high.school,no,no,cellular,oct,wed,524,3,999,failure,5017.5,yes
62,retired,married,high.school,no,no,cellular,oct,wed,207,1,6,success,5017.5,yes
54,retired,married,basic.4y,no,yes,cellular,oct,thu,164,2,999,nonexistent,5017.5,yes
24,student,single,high.school,yes,no,cellular,oct,thu,423,3,999,nonexistent,5017.5,yes
55,retired,married,basic.4y,yes,no,cellular,oct,thu,139,1,999,nonexistent,5017.5,yes
33,admin.,single,university.degree,no,no,cellular,oct,thu,410,1,999,failure,5017.5,yes
80,retired,divorced,high.school,yes,no,cellular,oct,thu,169,1,999,nonexistent,5017.5,yes
31,entrepreneur,unknown,university.degree,no,no,cellular,oct,thu,164,1,999,nonexistent,5017.5,yes
31,admin.,married,high.school,no,no,cellular,oct,thu,142,1,999,nonexistent,5017.5,yes
53,admin.,divorced,high.school,no,no,cellular,oct,thu,209,1,999,nonexistent,5017.5,yes
30,technician,married,professional.course,yes,yes,cellular,oct,thu,1707,2,999,nonexistent,5017.5,yes
72,retired,married,basic.6y,yes,yes,cellular,oct,thu,189,3,999,nonexistent,5017.5,yes
82,retired,single,basic.4y,yes,no,cellular,oct,thu,251,2,999,nonexistent,5017.5,yes
34,admin.,married,university.degree,no,no,cellular,oct,thu,401,1,999,nonexistent,5017.5,yes
67,admin.,married,basic.4y,no,no,cellular,oct,thu,299,2,2,success,5017.5,yes
48,technician,married,high.school,no,no,cellular,oct,thu,264,1,999,nonexistent,5017.5,yes
61,technician,married,professional.course,no,no,cellular,oct,thu,106,2,999,failure,5017.5,yes
48,technician,married,high.school,yes,no,cellular,oct,thu,215,2,999,nonexistent,5017.5,yes
48,technician,married,high.school,no,yes,cellular,oct,thu,288,3,999,nonexistent,5017.5,yes
69,retired,married,basic.4y,yes,no,cellular,oct,thu,124,1,999,nonexistent,5017.5,yes
34,technician,single,university.degree,no,no,cellular,oct,thu,136,1,999,failure,5017.5,yes
32,admin.,single,university.degree,yes,no,telephone,oct,thu,220,3,999,nonexistent,5017.5,yes
51,blue-collar,married,basic.9y,yes,no,cellular,oct,thu,746,2,999,nonexistent,5017.5,yes
54,retired,married,basic.4y,no,no,cellular,oct,thu,377,1,999,nonexistent,5017.5,yes
55,retired,married,high.school,yes,no,cellular,oct,thu,424,2,7,success,5017.5,yes
78,retired,divorced,basic.6y,no,no,cellular,oct,fri,212,2,999,nonexistent,5017.5,yes
26,student,single,high.school,no,no,cellular,oct,fri,373,3,999,nonexistent,5017.5,yes
39,technician,single,university.degree,no,yes,cellular,oct,fri,125,1,999,nonexistent,5017.5,yes
39,technician,single,university.degree,yes,no,cellular,oct,fri,217,1,999,nonexistent,5017.5,yes
34,technician,single,university.degree,no,no,cellular,oct,fri,144,1,999,nonexistent,5017.5,yes
36,self-employed,single,university.degree,no,no,cellular,oct,fri,480,1,999,nonexistent,5017.5,yes
59,technician,married,basic.9y,no,no,cellular,oct,fri,445,1,999,nonexistent,5017.5,yes
25,student,single,high.school,no,no,cellular,oct,fri,294,1,999,failure,5017.5,yes
69,retired,married,basic.4y,yes,yes,cellular,oct,fri,257,3,999,nonexistent,5017.5,yes
18,student,single,basic.6y,no,yes,cellular,oct,fri,368,2,999,nonexistent,5017.5,yes
37,admin.,single,university.degree,no,no,cellular,oct,fri,416,2,999,nonexistent,5017.5,yes
34,admin.,single,high.school,yes,no,cellular,nov,mon,121,2,999,failure,5017.5,yes
30,admin.,single,university.degree,no,no,cellular,nov,mon,106,1,999,nonexistent,5017.5,yes
37,self-employed,married,professional.course,yes,yes,cellular,nov,mon,1024,1,5,success,5017.5,yes
47,technician,divorced,high.school,yes,no,cellular,nov,mon,182,1,999,failure,5017.5,yes
45,blue-collar,married,high.school,yes,no,cellular,nov,mon,162,2,999,nonexistent,5017.5,yes
52,management,married,basic.6y,no,no,cellular,nov,mon,209,2,999,failure,5017.5,yes
71,retired,married,professional.course,yes,no,cellular,nov,tue,102,1,999,nonexistent,5017.5,yes
56,management,married,university.degree,unknown,unknown,cellular,nov,tue,289,1,999,nonexistent,5017.5,yes
32,admin.,single,high.school,no,no,cellular,nov,tue,1233,1,999,failure,5017.5,yes
36,admin.,single,university.degree,no,yes,cellular,nov,tue,187,1,999,nonexistent,5017.5,yes
79,retired,married,basic.4y,no,yes,cellular,nov,tue,149,1,999,nonexistent,5017.5,yes
56,housemaid,divorced,professional.course,yes,no,cellular,nov,tue,566,1,7,failure,5017.5,yes
30,unemployed,single,basic.9y,yes,no,cellular,nov,tue,537,1,999,nonexistent,5017.5,yes
27,blue-collar,single,basic.9y,no,no,cellular,nov,tue,217,1,999,failure,5017.5,yes
47,admin.,divorced,university.degree,no,no,cellular,nov,tue,181,4,6,success,5017.5,yes
54,admin.,married,university.degree,yes,yes,cellular,nov,tue,215,1,999,nonexistent,5017.5,yes
22,technician,single,professional.course,yes,no,cellular,nov,tue,358,1,999,nonexistent,5017.5,yes
28,self-employed,married,professional.course,yes,no,cellular,nov,tue,179,1,999,nonexistent,5017.5,yes
32,admin.,married,high.school,yes,no,cellular,nov,tue,322,1,999,nonexistent,5017.5,yes
54,technician,married,basic.9y,no,no,cellular,nov,tue,284,2,999,failure,5017.5,yes
71,retired,married,professional.course,yes,yes,telephone,nov,tue,383,1,999,nonexistent,5017.5,yes
26,technician,single,professional.course,no,yes,cellular,nov,wed,358,1,9,failure,5017.5,yes
73,retired,married,university.degree,no,yes,cellular,nov,thu,749,7,999,nonexistent,5017.5,yes
69,retired,married,basic.6y,yes,no,cellular,nov,thu,355,3,999,nonexistent,5017.5,yes
34,unemployed,single,university.degree,no,no,cellular,nov,fri,464,5,999,failure,5017.5,yes
54,admin.,married,high.school,yes,no,cellular,nov,fri,402,1,3,success,5017.5,yes
54,admin.,married,university.degree,yes,no,cellular,nov,fri,455,2,999,nonexistent,5017.5,yes
53,management,divorced,university.degree,no,yes,cellular,nov,fri,368,2,3,success,5017.5,yes
56,technician,divorced,university.degree,no,no,cellular,nov,fri,178,2,3,success,5017.5,yes
69,retired,married,high.school,no,no,cellular,nov,mon,178,1,999,nonexistent,5017.5,yes
26,admin.,single,high.school,yes,no,cellular,nov,mon,262,1,3,success,5017.5,yes
26,admin.,single,high.school,unknown,unknown,cellular,nov,mon,347,1,999,nonexistent,5017.5,yes
27,student,single,university.degree,no,yes,cellular,nov,mon,118,1,999,nonexistent,5017.5,yes
57,admin.,married,high.school,yes,no,cellular,nov,mon,169,1,3,success,5017.5,yes
25,admin.,single,university.degree,no,yes,cellular,nov,mon,165,1,3,success,5017.5,yes
24,unemployed,married,high.school,yes,no,cellular,nov,mon,98,1,999,failure,5017.5,yes
29,housemaid,single,university.degree,no,yes,telephone,nov,mon,201,1,999,nonexistent,5017.5,yes
22,student,single,professional.course,no,no,cellular,nov,mon,113,3,999,nonexistent,5017.5,yes
81,unknown,divorced,unknown,yes,no,cellular,nov,mon,161,1,999,failure,5017.5,yes
41,management,married,university.degree,no,no,cellular,nov,mon,696,2,7,failure,5017.5,yes
81,unknown,divorced,unknown,yes,no,cellular,nov,mon,263,1,999,failure,5017.5,yes
76,retired,single,basic.4y,no,no,cellular,nov,mon,347,4,6,success,5017.5,yes
38,admin.,married,university.degree,no,no,cellular,nov,tue,182,2,7,success,5017.5,yes
27,blue-collar,single,high.school,no,no,cellular,nov,tue,775,2,8,failure,5017.5,yes
71,housemaid,married,basic.4y,yes,no,cellular,nov,tue,193,2,999,nonexistent,5017.5,yes
28,admin.,married,high.school,no,no,cellular,nov,tue,406,2,999,nonexistent,5017.5,yes
34,technician,married,professional.course,yes,no,cellular,nov,tue,336,4,999,nonexistent,5017.5,yes
61,management,married,university.degree,yes,no,cellular,nov,tue,147,1,3,success,5017.5,yes
61,management,married,university.degree,yes,no,cellular,nov,tue,195,1,7,success,5017.5,yes
